Empresa;Codigo;indices dos quais participa
BR PROPERT;BRPR3;IBRA,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
BRADESCO;BBDC3;IBOV,IBRA,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,ITAG,MLCX
BRADESCO;BBDC4;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX
BRADESPAR;BRAP3;IGCX,ITAG
BRADESPAR;BRAP4;IBOV,IBRA,IBXL,IBXX,IDIV,IGCT,IGCX,IMAT,ITAG,IVBX,MLCX
BRASIL;BBAS3;IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX
BRASILAGRO;AGRO3;AGFS,IBRA,ICON,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL
BRASKEM;BRKM3;IGCX,ITAG
BRASKEM;BRKM5;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,IVBX,MLCX
BRF SA;BRFS3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX
BRISANET;BRIT3;IGCX,IGNM,ITAG
BRISTOLMYERS;BMYB34;BDRX
BRITISH AMER;B1TI34;BDRX
BROADCOM INC;AVGO34;BDRX
BROOKFIELD A;B1AM34;BDRX
BTGP BANCO;BPAC11;IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX
CAIXA SEGURI;CXSE3;IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,MLCX
CAMIL;CAML3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
CARNIVAL COR;C1CL34;BDRX
CARREFOUR BR;CRFB3;AGFS,IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,MLCX
CATERPILLAR;CATP34;BDRX
CBA;CBAV3;IBRA,IGCT,IGCX,IGNM,IMAT,ITAG,SMLL
CCR SA;CCRO3;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
CEA MODAS;CEAB3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
CEDRO;CEDO3;IGCX
CEDRO;CEDO4;IGCX,ITAG
CELESC;CLSC3;ITAG
CELESC;CLSC4;IGCX,ITAG
CEMIG;CMIG3;IBRA,IDIV,IGCT,IGCX,MLCX,UTIL
CEMIG;CMIG4;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL
CHARTER COMM;CHCM34;BDRX
CHEVRON;CHVX34;BDRX
CHINA LIFE I;L1FC34;BDRX
CHINA PETROL;C1HI34;BDRX
CIELO;CIEL3;GPTW,IBOV,IBRA,IBXX,ICO2,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL
CIGNA CORP;C1IC34;BDRX
CISCO;CSCO34;BDRX
CITIGROUP;CTGP34;BDRX
CLEARSALE;CLSA3;GPTW,IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL
COCA COLA;COCA34;BDRX
COELCE;COCE5;IEEX
COGNA ON;COGN3;IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
COINBASEGLOB;C2OI34;BDRX
COLGATE;COLG34;BDRX
COMCAST;CMCS34;BDRX
COPASA;CSMG3;IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL,UTIL
COPEL;CPLE3;IBRA,IDIV,IGCT,IGCX,MLCX,UTIL
COPEL;CPLE6;GPTW,IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL
COPHILLIPS;COPH34;BDRX
CORTEVA INC;C1TV34;BDRX
COSAN;CSAN3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
COSTAR GROUP;C1GP34;BDRX
COSTCO;COWC34;BDRX
COTEMINAS;CTNM4;ITAG
COTY INC;COTY34;BDRX
COUPA SOFTWA;C1OU34;BDRX
CPFL ENERGIA;CPFE3;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL
CR2;CRDE3;ITAG
CREDIT SUISS;C1SU34;BDRX
CRUZEIRO EDU;CSED3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
CSNMINERACAO;CMIN3;IBOV,IBRA,IBXX,IGCT,IGCX,IMAT,ITAG,MLCX
CSU CARDSYST;CARD3;IBRA,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL
CTRIPCOM;CRIP34;BDRX
CURY S/A;CURY3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
CVC BRASIL;CVCB3;IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL
CVS HEALTH;CVSH34;BDRX
CYRELA REALT;CYRE3;IBOV,IBRA,IBXL,IBXX,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,IVBX,SMLL
D1000VFARMA;DMVF3;IGCX,IGNM,ITAG
DANAHER CORP;DHER34;BDRX
DASA;DASA3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,MLCX
DATADOG INC;D1DG34;BDRX
DEERE CO;DEEC34;BDRX
DELTA;DEAI34;BDRX
DESKTOP;DESK3;IGCX,IGNM,ITAG
DEUTSCHE AK;DBAG34;BDRX
DEVON ENERGY;D1VN34;BDRX
DEXCO;DXCO3;AGFS,IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,SMLL
DEXCOM INC;D1EX34;BDRX
DEXXOS PAR;DEXP3;IBRA,IGCT,IGCX,IMAT,SMLL
DEXXOS PAR;DEXP4;IGCX
DIAGEO PL;DEOP34;BDRX
DIAMONDBACK;F1AN34;BDRX
DIGITAL REAL;D1LR34;BDRX
DIMED;PNVL3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
DIRECIONAL;DIRR3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
DOCUSIGN INC;D1OC34;BDRX
DOLLAR GENER;DGCO34;BDRX
DOMMO;DMMO3;IBRA,SMLL
DOTZ SA;DOTZ3;IGCX,IGNM,ITAG
DOW INC;D1OW34;BDRX
EATON CORP P;E1TN34;BDRX
EBAY;EBAY34;BDRX
ECOPETROL SA;E1CO34;BDRX
ECORODOVIAS;ECOR3;IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
ELECTR ARTS;EAIN34;BDRX
ELETROBRAS;ELET3;IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL
ELETROBRAS;ELET6;IBOV,IBRA,IBXX,ICO2,IDIV,IGCT,IGCX,MLCX,UTIL
ELETROMIDIA;ELMD3;IGCX,IGNM,ITAG
EMBRAER;EMBR3;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,SMLL
ENAUTA PART;ENAT3;IBRA,IDIV,IGCT,IGCX,IGNM,ITAG,SMLL
ENERGIAS BR;ENBR3;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL
ENERGISA;ENGI11;IBOV,IBRA,IBXX,IEEX,IGCT,IGCX,ITAG,MLCX,UTIL
ENEVA;ENEV3;IBOV,IBRA,IBXX,ICO2,IEEX,IGCT,IGCX,IGNM,ITAG,MLCX,UTIL
ENGIE BRASIL;EGIE3;IBOV,IBRA,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL
ENJOEI;ENJU3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL
EOG RESOURCE;E1OG34;BDRX
EQUATORIAL;EQTL3;IBOV,IBRA,IBXL,IBXX,IEEX,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX,UTIL
EQUINIX INC;EQIX34;BDRX
EQUINOR ASA;E1QN34;BDRX
EQUITY RESID;E1QR34;BDRX
ERICSSON LM;E1RI34;BDRX
ESPACOLASER;ESPA3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
ESSEX PROPER;E1SS34;BDRX
ESTAPAR;ALPK3;IGCX,IGNM,ITAG
ESTEE LAUDER;ELCI34;BDRX
EUCATEX;EUCA3;IGCX
EUCATEX;EUCA4;IGCX
EVEN;EVEN3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
EXXON MOBIL;EXXO34;BDRX
EZTEC;EZTC3;IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
FEDEX CORP;FDXB34;BDRX
FER HERINGER;FHER3;IGCX,IGNM,ITAG
FERBASA;FESA3;IGCX
FERBASA;FESA4;IBRA,IDIV,IGCT,IGCX,IMAT,INDX,SMLL
FIDELITY NAT;F1NI34;BDRX
FII ABSOLUTO;BPFF11;IFIX
FII AFHI CRI;AFHI11;IFIX
FII ALIANZA;ALZR11;IFIL,IFIX
FII ARCTIUM;ARCT11;IFIL,IFIX
FII ATRIO;ARRI11;IFIX
FII AUTONOMY;AIEC11;IFIX
FII BARIGUI;BARI11;IFIL,IFIX
FII BB PRGII;BBPO11;IFIL,IFIX
FII BC FFII;BCFF11;IFIL,IFIX
FII BC FUND;BRCR11;IFIL,IFIX
FII BCIA;BCIA11;IFIX
FII BEES CRI;BCRI11;IFIL,IFIX
FII BLUE FOF;BLMR11;IFIX
FII BLUE LOG;BLMG11;IFIX
FII BRESCO;BRCO11;IFIL,IFIX
FII BTG AGRO;BTAL11;IFIX
FII BTG CRI;BTCR11;IFIX
FII BTG TAGR;BTRA11;IFIX
FII BTLG;BTLG11;IFIL,IFIX
FII CAMPUSFL;FCFL11;IFIX
FII CAP REIT;CPFF11;IFIL,IFIX
FII CAPI SEC;CPTS11;IFIL,IFIX
FII CSHG CRI;HGCR11;IFIL,IFIX
FII CSHG FOF;HGFF11;IFIX
FII CSHG LOG;HGLG11;IFIL,IFIX
FII CSHG URB;HGRU11;IFIL,IFIX
FII DEA CARE;CARE11;IFIX
FII DEVANT;DEVA11;IFIL,IFIX
FII EXCELLEN;FEXC11;IFIX
FII FATOR VE;VRTA11;IFIL,IFIX
FII G TOWERS;GTWR11;IFIL,IFIX
